Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
https://www.fresherslive.com/dmrc-delhi-metro-rail-corporation-recruitment,,1,,,,,2,,
http://recruitmentresult.com/dmrc-recruitment/,,1,,,,,3,,
http://railwayrecruitmentgov.in/dmrc-recruitment-2018/,,1,,,,,4,,
https://exams.collegedunia.com/dmrc&sa=U&ved=0ahUKEwj1pbyO3oTaAhWEGZQKHby4DEkQFghDMAg&usg=AOvVaw17NCUNXatWJiEPiBHtXeVE,,1,,,,,5,,
http://www.baidu.com/link?url=19wD4CbtlmYfb637g0nbi84he-4AJ0glZzkpcGNN9dWwB5dfuvCP3R9VsJhl7kzS,,1,,,,,6,,
http://www.rrbrecruitment.co.in/dmrc-recruitment/,,1,,,,,7,,
http://www.rrbrecruitment.co.in/dmrc-recruitment/&sa=U&ved=0ahUKEwj1pbyO3oTaAhWEGZQKHby4DEkQFggrMAQ&usg=AOvVaw0PItRcvT8rV-G0IByk2Jm4,,1,,,,,8,,
http://www.baidu.com/link?url=3-cVnUvkqxn0f-JF7qiUS-KuUcDxHxPgKKvPpPDt8N-KFkHHjovzJNif5d6k8QblHpRngDgmn_Ql4OzPjrA-KWQxX29caqmZ6l-3iwp2XNwvW2sXE1xc1YloSKTrDyHfn3ChC3TlKQZt8_dsHH0-vKhzC5T1IjEKk2-IxuVwaW6SjNTUqRczLXm08xUtcMDXeuAaIrZgdE-KxXDWK51js_,,0,,,,,10,,
http://www.freejobalert.com/dmrc/18255/,,1,,,,,9,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,1,,,,,,,
"1,3",,1,,,,,,,
"1,4",,1,,,,,,,
"1,5",,1,,,,,,,
"1,6",,1,,,,,,,
"1,7",,1,,,,,,,
"1,8",,1,,,,,,,
"1,9",,1,,,,,,,
"1,10",,1,,,,,,,
"2,3",,1,,,,,,,
"2,4",,1,,,,,,,
"2,5",,1,,,,,,,
"2,6",,1,,,,,,,
"2,7",,1,,,,,,,
"2,8",,1,,,,,,,
"2,9",,1,,,,,,,
"2,10",,1,,,,,,,
"3,4",,1,,,,,,,
"3,5",,1,,,,,,,
"3,6",,1,,,,,,,
"3,7",,1,,,,,,,
"3,8",,1,,,,,,,
"3,9",,1,,,,,,,
"3,10",,1,,,,,,,
"4,5",,1,,,,,,,
"4,6",,1,,,,,,,
"4,7",,1,,,,,,,
"4,8",,1,,,,,,,
"4,9",,1,,,,,,,
"4,10",,1,,,,,,,
"5,6",,1,,,,,,,
"5,7",,1,,,,,,,
"5,8",,1,,,,,,,
"5,9",,1,,,,,,,
"5,10",,1,,,,,,,
"6,7",,1,,,,,,,
"6,8",,1,,,,,,,
"6,9",,1,,,,,,,
"6,10",,1,,,,,,,
"7,8",,1,,,,,,,
"7,9",,1,,,,,,,
"7,10",,1,,,,,,,
"8,9",,1,,,,,,,
"8,10",,1,,,,,,,
"9,10",,1,,,,,,,
,,,,,,,,,
accidents in DELHI METRO : 10th query,,,,,,,,,
,,,,,,,,,
https://www.news18.com/newstopics/delhi-metro-accident.html,,1,,,,,1,,
https://www.ndtv.com/topic/delhi-metro-accident,,1,,,,,2,,
http://indianexpress.com/about/delhi-metro-accident/,,1,,,,,3,,
https://www.ndtv.com/topic/delhi-metro-accident&sa=U&ved=0ahUKEwiNi9XD2t3aAhVMOI8KHRZ1ChwQFggTMAA&usg=AOvVaw04G0gy8uWHk6JKDPt7LjHo,,1,,,,,4,,
https://www.ndtv.com/topic/metro-accident,,1,,,,,5,,
https://www.ndtv.com/topic/delhi-metro-accident,,1,,,,,6,,
https://timesofindia.indiatimes.com/topic/delhi-metro-accident,,1,,,,,7,,
http://www.news18.com/newstopics/delhi-metro-accident.html,,1,,,,,8,,
http://www.dailymotion.com/video/x17z4po,,1,,,,,9,,
